index,name,generation,locomotion_fitness,manipulation_fitness,entered_population,final_name,genome,Final mean reward,base_lin_vel_zero,base_ang_vel_zero,support_feet_still,support_feet_vel,support_feet_contact,rf_target,action_rate,torques,dof_vel,dof_acc,energy,undesired_contacts
11,g000_p010,0,116.26,51.25,0,0,"[0.2,0.3,0.4,0.4,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,-0.0,1.57,-0.0,0.2,0.0,0.1,1.57,-0.0,-0.0,0.0,0.2,0.0,1.57,-0.0,-0.0,0.5,0.0,0.1,-0.0,-0.0,1.57,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.0,0.3,1.57,-0.0,-0.0,0.5,0.0,0.0]",51.2536542511,1.9415320158,0.929422080517,0.00417147297412,0.936118364334,0.399446725845,0.940435051918,-0.0507245585322,-0.0732621401548,-0.00600895658135,-0.0127980336547,-0.00116617232561,
12,g000_p011,0,184.86,90.31,1,g004_p042,"[0.4,0.4,0.4,0.1,0.6,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.2,0.0,-0.0,-1.57,-0.0,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.1,-0.0,1.57,-0.0,0.0,0.3,0.0,1.57,-0.0,-0.0,0.0,0.5,0.0]",90.3145664787,1.97694540024,0.957851290703,0.849268138409,0.794950485229,0.00779622420669,4.66185092926,-0.0535718351603,-0.0197645165026,-0.00599270127714,-0.00772547256202,-0.000277555198409,
13,g000_p012,0,112.95,61.39,0,0,"[0.2,0.2,0.4,0.1,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.2,0.0,-0.0,-0.0,3.14,0.0,0.5,0.0]",61.3946148121,1.86454415321,0.906476676464,0.465531080961,0.858267664909,0.0147949224338,2.16315317154,-0.035191744566,-0.0218798182905,-0.00635460345075,-0.00595065485686,-0.000746362260543,
14,g000_p013,0,132.02,84.31,1,g002_p043,"[0.6,0.6,0.2,0.2,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.2,-0.0,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-1.57,0.5,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.2,1.57,-0.0,-0.0,0.1,0.3,0.0,-0.0,-0.0,-1.57,0.5,0.0,0.0]",84.307071228,1.99690890312,0.987732589245,0.653321743011,0.0332616865635,0.00833333283663,5.44574356079,-0.0769039839506,-0.0212893243879,-0.00955033674836,-0.012527952902,-0.000506367126945,
15,g000_p014,0,147.62,55.97,0,0,"[0.1,0.2,0.4,0.1,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.4,0.0,0.2,-0.0,-0.0,3.14,0.0,0.5,0.1]",55.9723956299,1.96219396591,0.960239589214,1.61731362343,0.967448234558,0.0037597657647,0.133814901114,-0.0309404172003,-0.0470405817032,-0.00336238136515,-0.00366915087216,-0.000417804869357,
16,g000_p015,0,105.6,55.22,0,0,"[1.0,0.5,0.3,0.4,0.8,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-1.57,-0.0,0.4,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.4,0.1]",55.2152141571,1.99910831451,0.996713995934,0.318266808987,0.964421629906,0.304296910763,1.11377179623,-0.0289864204824,-0.0988915115595,-0.00220775767229,-0.001658719033,-0.000355259486241,
17,g000_p016,0,176.01,99.36,1,g006_p049,"[0.2,0.2,0.4,0.1,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.1,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.3,0.0,0.2,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.6,0.0]",99.3616397095,1.95027005672,0.9624132514,1.12346482277,0.951963305473,0.00328776054084,4.90549564362,-0.0340612456203,-0.0431162938476,-0.00475772377104,-0.00550630502403,-0.000445009529358,
18,g000_p017,0,141.6,91.79,1,g003_p045,"[0.4,0.2,0.4,0.2,0.6,-0.0,1.57,-0.0,0.3,0.1,0.0,-0.0,1.57,-0.0,0.0,0.2,0.0,-0.0,-1.57,-0.0,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.2,0.0,0.0,-0.0,1.57,-0.0,0.1,0.0,0.0,-0.0,1.57,-0.0,0.0,0.3,0.0,1.57,-0.0,-0.0,0.0,0.4,0.0]",91.7862142563,1.89148402214,0.837485671043,0.0970811247826,0.758343160152,0.0379069000483,5.62134695053,-0.0647105202079,-0.0454639270902,-0.00817109458148,-0.0136129502207,-0.000795913103502,
19,g000_p018,0,187.68,62.5,1,g003_p036,"[0.2,0.3,0.3,0.1,0.9,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.5,0.0]",62.5020048141,1.97965049744,0.977132499218,1.72394824028,0.985883593559,8.13802107587e-05,0.808386802673,-0.0231143347919,-0.0329465009272,-0.00333850085735,-0.00301723415032,-0.000270400138106,
20,g000_p019,0,104.38,81.81,1,g001_p041,"[1.0,0.5,0.2,0.2,0.6,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.1,-0.0,-1.57,-0.0,0.1,0.2,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.4,0.0,0.0,-0.0,-0.0,3.14,0.0,0.4,0.0]",81.1101407242,1.9985332489,0.993856847286,0.184709846973,0.977585971355,0.00162760424428,4.44848060608,-0.0726438984275,-0.0744078755379,-0.00267161149532,-0.00338857807219,-0.000262865709374,
21,g000_p020,0,110.96,81.08,1,g001_p042,"[1.0,0.5,0.2,0.2,0.6,-0.5233333333,-0.0,1.57,0.1,0.0,0.0,1.0466666667,-0.0,-0.0,0.2,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-1.57,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.4,0.0]",81.0777434158,1.99669528008,0.980025947094,0.0123319923878,0.958917021751,0.00397135410458,4.60005474091,-0.0757970139384,-0.0775339454412,-0.00500300666317,-0.0063506453298,-0.000648334505968,
