index,name,generation,locomotion_fitness,manipulation_fitness,entered_population,final_name,genome,Final mean reward,tracking_lin_vel,tracking_ang_vel,lin_vel_z,ang_vel_xy,base_height,action_rate,torques,dof_vel,energy,similar_to_default,contact,contact_forces,feet_slide,swing_feet_z,orientation,dof_acc,undesired_contacts
765,g015_o014,15,201.22,92.38,1,g022_p049,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.1,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.1,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.2,0.0]",201.223064728,3.93105101585,1.97251880169,-0.0739924535155,-0.0128632374108,-0.022184740752,-0.139284968376,-0.0397854410112,-0.0391319133341,-0.00415361439809,0,1.76977539062,-0.00802864786237,-0.0368544086814,2.30562567711,-0.00755739118904,-0.0585287511349,
766,g015_o015,15,157.51,104.74,0,0,"[0.3,0.4,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.4,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.3,0.0,0.4,-0.0,1.57,-1.0466666667,0.4,0.0,0.1]",157.514527435,3.86747264862,1.94110238552,-0.121120914817,-0.0588248297572,-0.819249093533,-0.231255203485,-0.0681703686714,-0.0556810945272,-0.00950983166695,0,1.43546557426,-0.0362936370075,-0.0427591726184,2.02398681641,-0.0325770042837,-0.096348926425,
767,g015_o016,15,151.63,60.42,0,0,"[0.4,0.3,0.4,0.1,0.3,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.2,1.57,-1.0466666667,-0.0,0.2,0.0,0.1,-0.0,-0.0,-1.0466666667,0.3,0.0,0.1,1.57,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.0]",151.632629776,3.55919337273,1.79426276684,-0.088736385107,-0.0274120625108,-0.830609023571,-0.247299998999,-0.0622208043933,-0.0599112175405,-0.00948239304125,0,1.4052734375,-0.0144809857011,-0.0820304751396,2.07054018974,-0.0137300118804,-0.124236606061,
768,g015_o017,15,163.32,60.54,0,0,"[0.4,0.3,0.2,0.1,0.4,-2.0933333333,-0.0,1.57,0.4,0.1,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.2,0.0,0.1,-2.0933333333,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0]",163.317461853,3.40530586243,1.85635089874,-0.131477683783,-0.0265085101128,-0.051556289196,-0.208776831627,-0.0405549816787,-0.0430206954479,-0.00484311534092,0,1.26326501369,-0.018516741693,-0.0125676468015,1.95065689087,-0.0320757329464,-0.0619555041194,
769,g015_o018,15,153.33,111.77,0,0,"[0.3,0.4,0.4,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.1,0.4,1.57,-1.0466666667,-0.0,0.2,0.0,0.1,-0.0,-0.0,-1.0466666667,0.6,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.3,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.1]",153.330811234,3.27822947502,1.69521713257,-0.0640187785029,-0.0199072640389,-0.0952534005046,-0.175501853228,-0.0577423274517,-0.0356125943363,-0.00513752968982,0,1.8076171875,-0.0145761724561,-0.0464332215488,2.53143215179,-0.0550366863608,-0.0644993931055,
770,g015_o019,15,132.66,37.33,0,0,"[0.1,0.2,0.4,0.1,0.7,-1.57,-0.0,-1.57,0.1,0.0,0.0,1.57,2.0933333333,3.14,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.5,0.0,0.0,3.14,-0.0,-1.0466666667,0.4,0.0,0.0,-0.0,-0.0,1.57,0.1,0.4,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.5233333333,3.14,0.0,0.4,0.0]",132.657697053,1.32713913918,1.8978908062,-0.0360071919858,-0.0150197185576,-0.0108610419556,-0.133569806814,-0.038293838501,-0.0211426280439,-0.00174897664692,0,1.53430175781,-0.00113037752453,-0.00528282951564,2.86541247368,-0.0271257795393,-0.0345029346645,
771,g015_o020,15,146.88,78.26,0,0,"[0.3,0.4,0.2,0.1,0.4,-0.5233333333,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,1.0466666667,-0.0,-0.0,0.3,0.0,0.0,1.0466666667,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.3,0.0,0.0,-0.0,-0.0,0.5233333333,0.4,0.0,0.1]",146.882663879,3.34715843201,1.8867405653,-0.101162485778,-0.055641990155,-1.1131529808,-0.246878802776,-0.0643579363823,-0.0552097223699,-0.009411200881,0,1.57633471489,-0.00105701060966,-0.0792073905468,2.25813674927,-0.223446235061,-0.122449949384,
772,g015_o021,15,102.29,102.27,0,0,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.4,0.2,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.0,1.57,-1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,1.57,0.5233333333,-0.0,0.1,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.2,0.0]",102.28754097,1.31721162796,1.76291561127,-0.0402227528393,-0.0135318487883,-1.2325360775,-0.211871013045,-0.0378135442734,-0.0302470140159,-0.00279578263871,0,1.19401049614,-0.000113184527436,-0.0137624200433,2.11584115028,-0.062326580286,-0.0645953416824,
773,g015_o022,15,154.27,106.62,0,0,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.1,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-2.0933333333,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.2]",154.266911929,3.8406264782,1.96174454689,-0.0361274965107,-0.017365468666,-0.00197667023167,-0.144504472613,-0.0434833876789,-0.048815138638,-0.00584916537628,0,1.38444018364,-0.0104217454791,-0.00136671122164,1.34406757355,-0.00688060140237,-0.0686091333628,
774,g015_o023,15,107.76,80.4,0,0,"[0.4,0.3,0.2,0.1,0.4,-0.5233333333,-0.0,1.57,0.1,0.0,0.1,1.57,0.5233333333,-1.0466666667,0.2,0.0,0.0,-0.0,-0.5233333333,-1.57,0.2,0.0,0.0,1.0466666667,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,1.57,0.5233333333,-1.57,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.2,0.0]",107.761265335,1.25433897972,1.65975952148,-0.00510409055278,-0.00686260452494,-1.1821821928,-0.162240236998,-0.0359808057547,-0.0251417271793,-0.00237270724028,0,1.35766601562,0,-0.0314866527915,2.18128657341,-0.156250029802,-0.050784945488,
775,g015_o024,15,150.76,71.84,0,0,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.4,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.0466666667,-1.0466666667,-3.14,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.3,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.0]",150.759344559,3.77671289444,1.84143769741,-0.0784056931734,-0.0478313863277,-1.48184859753,-0.276760220528,-0.05979635939,-0.0412722341716,-0.00644915644079,0,1.71752929688,-0.000142838020111,-0.0540479719639,2.21016073227,-0.0713503807783,-0.0664648637176,
776,g015_o025,15,154.53,108.72,0,0,"[0.4,0.2,0.4,0.2,0.4,-0.0,-0.0,1.57,0.4,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.2,0.0,1.57,-1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.5,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.0]",154.526798439,3.57241129875,1.64397358894,-0.0650092512369,-0.027183920145,-0.00662823906168,-0.178918600082,-0.0556998662651,-0.0335786007345,-0.00461117178202,0,1.09952807426,-0.0182510726154,-0.00767373060808,1.65440797806,-0.0452122613788,-0.0524682700634,
777,g015_o026,15,121.39,80.72,0,0,"[0.4,0.3,0.2,0.2,0.4,-0.0,-1.57,1.0466666667,0.1,0.0,0.0,2.0933333333,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.2,0.0,0.1,0.5233333333,-0.0,-1.0466666667,0.6,0.0,0.0,-0.0,-0.0,1.57,0.1,0.1,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.0]",121.393152237,1.71428143978,1.89662110806,-0.0398482531309,-0.0177536662668,-1.18931365013,-0.32331982255,-0.0613761842251,-0.0382439792156,-0.00596326962113,0,1.86352539062,-0.0128627261147,-0.0539094023407,2.12268137932,-0.195830196142,-0.0928012058139,
778,g015_o027,15,139.78,112.3,0,0,"[0.3,0.4,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.0466666667,0.4,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.3,0.0,0.1,-0.0,-0.0,-1.0466666667,0.4,0.0,0.1]",139.775347443,3.22547483444,1.31334078312,-0.108057066798,-0.0532836727798,-0.00798104610294,-0.139618694782,-0.0551046058536,-0.0418542288244,-0.00615568086505,0,1.36722826958,-0.0341518223286,-0.00844132341444,2.02785944939,-0.0494220778346,-0.0463793501258,
